=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769736467
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
2247.17	330.177	0.173	0.996692	-0.0107005	0.000138501	-1.66718	1.30509e-09	-1.6508	1.30198e-09	-1.6344	0.998342	-0.0117076	0.000137784	-1.64681	1.30681e-09	-1.61341	1.30666e-09	-1.63459
2269.53	332.086	0.174	0.996768	-0.0104133	0.000131871	-1.66546	1.27504e-09	-1.64539	1.27202e-09	-1.6289	0.998419	-0.0114242	0.000131176	-1.64505	1.277e-09	-1.60789	1.27659e-09	-1.62909
2292.64	333.994	0.175	0.996838	-0.0101399	0.000125716	-1.6638	1.2511e-09	-1.6395	1.24817e-09	-1.62294	0.99849	-0.0111548	0.000125046	-1.64338	1.25334e-09	-1.60194	1.25265e-09	-1.62314
2315.29	335.903	0.176	0.996903	-0.00987923	0.000119991	-1.66222	1.23322e-09	-1.63274	1.23037e-09	-1.61612	0.998556	-0.0108984	0.000119349	-1.6418	1.23582e-09	-1.59518	1.23479e-09	-1.61633
2337.75	337.811	0.177	0.996964	-0.00963037	0.000114655	-1.6607	1.22144e-09	-1.62441	1.21868e-09	-1.60774	0.998617	-0.010654	0.000114044	-1.6403	1.22454e-09	-1.58688	1.22305e-09	-1.60795
2360.22	339.72	0.178	0.997019	-0.00939246	0.000109672	-1.65925	1.21547e-09	-1.61313	1.21281e-09	-1.59643	0.998674	-0.0104207	0.000109095	-1.63888	1.2193e-09	-1.57571	1.21715e-09	-1.59664
2383.09	341.628	0.179	0.99707	-0.00916482	0.000105013	-1.6579	1.21283e-09	-1.59631	1.21029e-09	-1.57959	0.998727	-0.0101979	0.00010447	-1.63754	1.21783e-09	-1.55904	1.21462e-09	-1.57981
2405.5	343.537	0.18	0.997116	-0.00894709	0.000100657	-1.65667	1.20204e-09	-1.56993	1.1997e-09	-1.55323	0.998776	-0.00998484	0.000100144	-1.63628	1.20893e-09	-1.53274	1.20397e-09	-1.55345
2428.26	345.445	0.181	0.997157	-0.00873982	9.66018e-05	-1.65555	1.14942e-09	-1.53536	1.14755e-09	-1.51871	0.998821	-0.00978119	9.60946e-05	-1.63509	1.15881e-09	-1.49778	1.15162e-09	-1.51894
2450.71	347.354	0.182	0.997198	-0.00854337	9.28371e-05	-1.65433	1.04117e-09	-1.52143	1.0403e-09	-1.50474	0.998865	-0.00958648	9.23016e-05	-1.63391	1.05175e-09	-1.48242	1.04399e-09	-1.50499
2473.27	349.262	0.183	0.997242	-0.00835485	8.92935e-05	-1.65282	9.68653e-10	-1.54601	9.68494e-10	-1.52877	0.998907	-0.00939945	8.87296e-05	-1.63272	9.77846e-10	-1.50522	9.71949e-10	-1.52902
