=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769780238
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
1029.27	41.9878	0.022	0.998292	0.00108644	1.58944e-06	2.30387	2.22497e-15	1.5242	2.2283e-15	1.60785	0.999974	0.00100895	1.01809e-06	1.58398	2.29042e-15	1.75365	2.13801e-15	1.61162
1052.06	42.9421	0.0225	0.998292	0.00111166	1.63018e-06	2.2922	2.40602e-15	1.52432	2.40991e-15	1.60852	0.999973	0.0010349	1.07113e-06	1.58432	2.47818e-15	1.75551	2.31406e-15	1.61231
1075.04	43.8964	0.023	0.998292	0.00113691	1.67194e-06	2.28081	2.60039e-15	1.52449	2.60493e-15	1.60919	0.999972	0.00106107	1.126e-06	1.58466	2.67984e-15	1.75727	2.50328e-15	1.61299
1097.84	44.8506	0.0235	0.998292	0.00116219	1.71471e-06	2.26968	2.80899e-15	1.5247	2.81427e-15	1.60985	0.99997	0.00108747	1.18274e-06	1.585	2.89631e-15	1.75895	2.70656e-15	1.61366
1120.65	45.8049	0.024	0.998291	0.00118752	1.75851e-06	2.2588	3.03304e-15	1.52497	3.03917e-15	1.6105	0.999969	0.00111411	1.2414e-06	1.58535	3.12876e-15	1.76054	2.92497e-15	1.61433
1143.41	46.7592	0.0245	0.998291	0.00121288	1.80334e-06	2.24817	3.27336e-15	1.52528	3.28044e-15	1.61116	0.999967	0.00114099	1.30203e-06	1.5857	3.37832e-15	1.76205	3.15966e-15	1.61498
1166.87	47.7135	0.025	0.998291	0.00123828	1.84921e-06	2.23778	3.5313e-15	1.52564	3.53945e-15	1.6118	0.999966	0.00116812	1.36471e-06	1.58606	3.64617e-15	1.76347	3.41173e-15	1.61563
1189.67	48.6677	0.0255	0.998291	0.00126372	1.89613e-06	2.22762	3.80818e-15	1.52604	3.81752e-15	1.61245	0.999964	0.00119552	1.42948e-06	1.58641	3.93359e-15	1.76481	3.6824e-15	1.61628
1212.56	49.622	0.026	0.99829	0.0012892	1.94411e-06	2.2177	4.10509e-15	1.52649	4.11576e-15	1.61309	0.999962	0.00122318	1.4964e-06	1.58677	4.24213e-15	1.76607	3.97321e-15	1.61692
1235.51	50.5763	0.0265	0.99829	0.00131473	1.99314e-06	2.20799	4.42364e-15	1.52698	4.43583e-15	1.61372	0.999961	0.00125112	1.56556e-06	1.58714	4.57297e-15	1.76726	4.28529e-15	1.61755
1258.45	51.5305	0.027	0.99829	0.00134029	2.04325e-06	2.1985	4.76529e-15	1.52752	4.77915e-15	1.61435	0.999959	0.00127934	1.637e-06	1.58751	4.92785e-15	1.76838	4.62029e-15	1.61818
1281.38	52.4848	0.0275	0.998289	0.0013659	2.09444e-06	2.18922	5.13162e-15	1.5281	5.14735e-15	1.61498	0.999957	0.00130786	1.71081e-06	1.58788	5.30852e-15	1.76942	4.97995e-15	1.6188
1304.14	53.4391	0.028	0.998289	0.00139156	2.14671e-06	2.18014	5.52462e-15	1.52871	5.54242e-15	1.61561	0.999955	0.00133668	1.78707e-06	1.58826	5.71677e-15	1.7704	5.36596e-15	1.61942
