=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.251
Time_from_Epoch = 1769991310
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
1136.36	47.7135	0.025	0.998289	0.00124387	1.86282e-06	2.23581	2.306e-15	1.46885	2.2893e-15	1.57626	0.999975	0.00114348	1.30761e-06	1.5822	2.35936e-15	1.76189	2.1842e-15	1.58015
1159.06	48.6677	0.0255	0.998289	0.00126966	1.91083e-06	2.22559	2.45316e-15	1.46804	2.43519e-15	1.57651	0.999974	0.00116921	1.36713e-06	1.58246	2.51129e-15	1.76412	2.3248e-15	1.58043
1181.48	49.622	0.026	0.998288	0.00129551	1.95995e-06	2.21559	2.60861e-15	1.46728	2.58933e-15	1.57676	0.999973	0.00119513	1.42841e-06	1.58271	2.67179e-15	1.76629	2.47338e-15	1.58072
1203.66	50.5763	0.0265	0.998288	0.00132141	2.01021e-06	2.20582	2.7727e-15	1.46657	2.75205e-15	1.57702	0.999972	0.00122123	1.4915e-06	1.58297	2.84139e-15	1.76839	2.63043e-15	1.58101
1225.87	51.5305	0.027	0.998287	0.00134738	2.06161e-06	2.19626	2.94597e-15	1.46591	2.92389e-15	1.57729	0.99997	0.00124754	1.55645e-06	1.58324	3.02045e-15	1.77043	2.7963e-15	1.5813
1248.32	52.4848	0.0275	0.998287	0.0013734	2.11417e-06	2.18691	3.12887e-15	1.46531	3.1053e-15	1.57756	0.999969	0.00127404	1.62329e-06	1.5835	3.20963e-15	1.7724	2.9716e-15	1.58161
1270.32	53.4391	0.028	0.998287	0.00139948	2.16789e-06	2.17776	3.32202e-15	1.46476	3.29689e-15	1.57784	0.999968	0.00130075	1.69207e-06	1.58377	3.40938e-15	1.77431	3.15678e-15	1.58192
1292.36	54.3933	0.0285	0.998286	0.00142563	2.22279e-06	2.16882	3.52598e-15	1.46426	3.49924e-15	1.57813	0.999967	0.00132767	1.76284e-06	1.58403	3.62042e-15	1.77615	3.35248e-15	1.58223
1314.28	55.3476	0.029	0.998286	0.00145184	2.27888e-06	2.16006	3.74131e-15	1.46381	3.71289e-15	1.57842	0.999965	0.00135481	1.83566e-06	1.5843	3.84331e-15	1.77793	3.55928e-15	1.58254
1336.5	56.3019	0.0295	0.998286	0.00147811	2.33618e-06	2.1515	3.96855e-15	1.46342	3.93842e-15	1.57872	0.999964	0.00138218	1.91056e-06	1.58458	4.07869e-15	1.77965	3.77777e-15	1.58286
1358.81	57.2561	0.03	0.998285	0.00150445	2.39469e-06	2.14311	4.20847e-15	1.46307	4.17654e-15	1.57903	0.999962	0.00140977	1.98762e-06	1.58485	4.32722e-15	1.78131	4.00855e-15	1.58319
1380.83	58.2104	0.0305	0.998285	0.00153086	2.45442e-06	2.13491	4.46177e-15	1.46278	4.42799e-15	1.57934	0.999961	0.0014376	2.06687e-06	1.58513	4.58963e-15	1.78291	4.25235e-15	1.58352
1403.09	59.1647	0.031	0.998284	0.00155734	2.5154e-06	2.12687	4.72914e-15	1.46253	4.69346e-15	1.57966	0.999959	0.00146567	2.14839e-06	1.58541	4.86681e-15	1.78445	4.51001e-15	1.58386
1425.09	60.1189	0.0315	0.998284	0.00158389	2.57764e-06	2.11901	5.01135e-15	1.46234	4.97374e-15	1.57999	0.999958	0.00149399	2.23222e-06	1.58569	5.15937e-15	1.78593	4.7821e-15	1.5842
1447.01	61.0732	0.032	0.998283	0.00161051	2.64114e-06	2.1113	5.30924e-15	1.46219	5.26964e-15	1.58033	0.999956	0.00152257	2.31844e-06	1.58597	5.46833e-15	1.78736	5.06962e-15	1.58455
1469.04	62.0275	0.0325	0.998283	0.0016372	2.70593e-06	2.10376	5.62376e-15	1.46209	5.58212e-15	1.58067	0.999954	0.00155141	2.40711e-06	1.58626	5.79457e-15	1.78872	5.37335e-15	1.5849
1491.14	62.9818	0.033	0.998282	0.00166396	2.77201e-06	2.09636	5.95566e-15	1.46204	5.91195e-15	1.58101	0.999953	0.00158051	2.4983e-06	1.58655	6.13903e-15	1.79004	5.69426e-15	1.58526
1513.17	63.936	0.0335	0.998282	0.00169081	2.83941e-06	2.08912	6.30606e-15	1.46203	6.26025e-15	1.58137	0.999951	0.0016099	2.59207e-06	1.58684	6.5027e-15	1.79129	6.03326e-15	1.58562
1535.34	64.8903	0.034	0.998282	0.00171773	2.90814e-06	2.08203	6.67582e-15	1.46207	6.62784e-15	1.58173	0.999949	0.00163957	2.6885e-06	1.58714	6.88651e-15	1.7925	6.39123e-15	1.58599
1557.42	65.8446	0.0345	0.998281	0.00174473	2.97821e-06	2.07507	7.06623e-15	1.46216	7.0161e-15	1.5821	0.999947	0.00166953	2.78767e-06	1.58743	7.29188e-15	1.79366	6.76957e-15	1.58636
1579.41	66.7988	0.035	0.998281	0.00177181	3.04965e-06	2.06826	7.47838e-15	1.46229	7.42606e-15	1.58247	0.999945	0.00169978	2.88965e-06	1.58773	7.71991e-15	1.79476	7.16928e-15	1.58673
1601.52	67.7531	0.0355	0.99828	0.00179897	3.12246e-06	2.06157	7.91345e-15	1.46246	7.85893e-15	1.58285	0.999943	0.00173035	2.99452e-06	1.58804	8.17186e-15	1.79581	7.59159e-15	1.58712
1623.64	68.7074	0.036	0.998279	0.00182621	3.19666e-06	2.05502	8.37267e-15	1.46268	8.31596e-15	1.58324	0.999941	0.00176123	3.10238e-06	1.58835	8.64893e-15	1.79682	8.03769e-15	1.58751
1645.66	69.6616	0.0365	0.998279	0.00185354	3.27228e-06	2.0486	8.85753e-15	1.46294	8.7986e-15	1.58363	0.999939	0.00179243	3.21331e-06	1.58866	9.15257e-15	1.79777	8.5089e-15	1.5879
1667.7	70.6159	0.037	0.998278	0.00188095	3.34932e-06	2.04229	9.36941e-15	1.46324	9.30829e-15	1.58403	0.999937	0.00182397	3.32739e-06	1.58897	9.68452e-15	1.79869	9.00693e-15	1.5883
1689.8	71.5702	0.0375	0.998278	0.00190846	3.42782e-06	2.03611	9.90978e-15	1.46359	9.84651e-15	1.58444	0.999935	0.00185585	3.44474e-06	1.58929	1.02461e-14	1.79955	9.53306e-15	1.5887
1712.26	72.5244	0.038	0.998277	0.00193605	3.50777e-06	2.03005	1.04804e-14	1.46397	1.0415e-14	1.58486	0.999932	0.00188808	3.56544e-06	1.58961	1.08392e-14	1.80037	1.00891e-14	1.58911
1734.3	73.4787	0.0385	0.998277	0.00196373	3.58922e-06	2.0241	1.10827e-14	1.4644	1.10152e-14	1.58528	0.99993	0.00192066	3.6896e-06	1.58993	1.14653e-14	1.80115	1.06765e-14	1.58953
1756.28	74.433	0.039	0.998276	0.00199151	3.67216e-06	2.01826	1.17188e-14	1.46487	1.16493e-14	1.58571	0.999928	0.00195362	3.81733e-06	1.59026	1.21266e-14	1.80188	1.12972e-14	1.58995
1778.3	75.3873	0.0395	0.998276	0.00201938	3.75663e-06	2.01253	1.23905e-14	1.46537	1.2319e-14	1.58614	0.999925	0.00198695	3.94875e-06	1.59059	1.28248e-14	1.80257	1.19532e-14	1.59038
1800.55	76.3415	0.04	0.998275	0.00204734	3.84264e-06	2.0069	1.30997e-14	1.46592	1.30264e-14	1.58659	0.999923	0.00202068	4.08396e-06	1.59092	1.35623e-14	1.80323	1.26465e-14	1.59081
1822.64	77.2958	0.0405	0.998274	0.00207541	3.93022e-06	2.00138	1.38487e-14	1.4665	1.37736e-14	1.58704	0.99992	0.0020548	4.22309e-06	1.59126	1.43411e-14	1.80384	1.33791e-14	1.59125
1844.77	78.2501	0.041	0.998274	0.00210357	4.01938e-06	1.99595	1.46399e-14	1.46712	1.45632e-14	1.58749	0.999917	0.00208933	4.36627e-06	1.59161	1.51637e-14	1.80442	1.41535e-14	1.59169
1866.79	79.2043	0.0415	0.998273	0.00213183	4.11014e-06	1.99062	1.54753e-14	1.46777	1.53971e-14	1.58795	0.999915	0.00212429	4.51362e-06	1.59195	1.60324e-14	1.80496	1.49718e-14	1.59214
1889.22	80.1586	0.042	0.998272	0.00216019	4.20254e-06	1.98539	1.63579e-14	1.46847	1.62784e-14	1.58842	0.999912	0.00215967	4.6653e-06	1.5923	1.69504e-14	1.80546	1.58372e-14	1.5926
1911.25	81.1129	0.0425	0.998272	0.00218866	4.29659e-06	1.98025	1.72902e-14	1.4692	1.72095e-14	1.5889	0.999909	0.0021955	4.82144e-06	1.59266	1.792e-14	1.80593	1.67519e-14	1.59306
1933.39	82.0671	0.043	0.998271	0.00221724	4.39231e-06	1.9752	1.82751e-14	1.46996	1.81935e-14	1.58939	0.999906	0.00223179	4.98219e-06	1.59302	1.89443e-14	1.80636	1.77188e-14	1.59353
1955.42	83.0214	0.0435	0.99827	0.00224592	4.48972e-06	1.97024	1.93156e-14	1.47076	1.92334e-14	1.58988	0.999903	0.00226855	5.14771e-06	1.59339	2.00265e-14	1.80676	1.87411e-14	1.594
1977.49	83.9757	0.044	0.99827	0.00227471	4.58886e-06	1.96536	2.04151e-14	1.47159	2.03324e-14	1.59038	0.999899	0.00230579	5.31816e-06	1.59376	2.117e-14	1.80713	1.98221e-14	1.59448
1999.5	84.9299	0.0445	0.998269	0.00230362	4.68975e-06	1.96057	2.1577e-14	1.47246	2.14943e-14	1.59089	0.999896	0.00234352	5.49371e-06	1.59413	2.23783e-14	1.80747	2.09651e-14	1.59497
2021.54	85.8842	0.045	0.998268	0.00233263	4.7924e-06	1.95586	2.28047e-14	1.47336	2.27222e-14	1.5914	0.999893	0.00238177	5.67455e-06	1.59451	2.36552e-14	1.80778	2.2174e-14	1.59547
2043.54	86.8385	0.0455	0.998267	0.00236176	4.89686e-06	1.95122	2.41026e-14	1.47429	2.40207e-14	1.59192	0.999889	0.00242054	5.86085e-06	1.5949	2.5005e-14	1.80806	2.34526e-14	1.59597
2066.14	87.7928	0.046	0.998267	0.00239101	5.00313e-06	1.94667	2.54744e-14	1.47525	2.53936e-14	1.59245	0.999885	0.00245984	6.05282e-06	1.59529	2.64318e-14	1.80831	2.48052e-14	1.59647
2088.23	88.747	0.0465	0.998266	0.00242038	5.11126e-06	1.94219	2.69246e-14	1.47625	2.68453e-14	1.59299	0.999882	0.0024997	6.25065e-06	1.59568	2.79399e-14	1.80854	2.62359e-14	1.59699
2110.23	89.7013	0.047	0.998265	0.00244987	5.22126e-06	1.93778	2.8458e-14	1.47728	2.83807e-14	1.59354	0.999878	0.00254013	6.45456e-06	1.59608	2.95344e-14	1.80874	2.77495e-14	1.59751
2132.34	90.6556	0.0475	0.998264	0.00247948	5.33317e-06	1.93345	3.00792e-14	1.47833	3.00045e-14	1.59409	0.999874	0.00258114	6.66477e-06	1.59649	3.12204e-14	1.80892	2.93511e-14	1.59804
